,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
8148,0.7090000000000001,0.57,4,-9.574,0,0.352,0.9,0.0,0.0784,0.605,160.006,audio_features,4m1mrlWu35x0trDuKE5XvX,spotify:track:4m1mrlWu35x0trDuKE5XvX,https://api.spotify.com/v1/tracks/4m1mrlWu35x0trDuKE5XvX,https://api.spotify.com/v1/audio-analysis/4m1mrlWu35x0trDuKE5XvX,150073,4
19796,0.598,0.662,8,-5.932,1,0.198,0.833,0.0497,0.107,0.289,140.10399999999998,audio_features,0HFU78dmOoSX6C7dsFcK0B,spotify:track:0HFU78dmOoSX6C7dsFcK0B,https://api.spotify.com/v1/tracks/0HFU78dmOoSX6C7dsFcK0B,https://api.spotify.com/v1/audio-analysis/0HFU78dmOoSX6C7dsFcK0B,200616,4
17550,0.762,0.6609999999999999,1,-6.075,0,0.0687,0.15,0.0,0.256,0.769,130.009,audio_features,1hGy2eLcmC8eKx7qr1tOqx,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/tracks/1hGy2eLcmC8eKx7qr1tOqx,https://api.spotify.com/v1/audio-analysis/1hGy2eLcmC8eKx7qr1tOqx,225373,4
5237,0.747,0.5529999999999999,1,-7.294,1,0.1169999999999999,0.281,0.0,0.1169999999999999,0.262,141.888,audio_features,0VYhxVxH9ijmdHUKsON9Bk,spotify:track:0VYhxVxH9ijmdHUKsON9Bk,https://api.spotify.com/v1/tracks/0VYhxVxH9ijmdHUKsON9Bk,https://api.spotify.com/v1/audio-analysis/0VYhxVxH9ijmdHUKsON9Bk,191033,4
14623,0.785,0.62,8,-6.667000000000001,1,0.254,0.0138,0.0,0.15,0.478,78.477,audio_features,59J5nzL1KniFHnU120dQzt,spotify:track:59J5nzL1KniFHnU120dQzt,https://api.spotify.com/v1/tracks/59J5nzL1KniFHnU120dQzt,https://api.spotify.com/v1/audio-analysis/59J5nzL1KniFHnU120dQzt,235535,4
26067,0.727,0.828,1,-11.529000000000002,1,0.0746,0.0805,0.8140000000000001,0.103,0.454,142.011,audio_features,6UerXd3NVMNph4a7Nq2mZP,spotify:track:6UerXd3NVMNph4a7Nq2mZP,https://api.spotify.com/v1/tracks/6UerXd3NVMNph4a7Nq2mZP,https://api.spotify.com/v1/audio-analysis/6UerXd3NVMNph4a7Nq2mZP,425236,4
16320,0.578,0.7140000000000001,11,-3.551,0,0.0349,0.0846,0.0,0.139,0.145,146.014,audio_features,0N9b7upoCixmvrsF0e4XN3,spotify:track:0N9b7upoCixmvrsF0e4XN3,https://api.spotify.com/v1/tracks/0N9b7upoCixmvrsF0e4XN3,https://api.spotify.com/v1/audio-analysis/0N9b7upoCixmvrsF0e4XN3,187547,4
16160,0.597,0.8,1,-5.422999999999999,0,0.312,0.0461,0.0,0.18,0.565,155.93200000000002,audio_features,6kVuF2PYLuvl9T85XjNbaO,spotify:track:6kVuF2PYLuvl9T85XjNbaO,https://api.spotify.com/v1/tracks/6kVuF2PYLuvl9T85XjNbaO,https://api.spotify.com/v1/audio-analysis/6kVuF2PYLuvl9T85XjNbaO,302187,4
19113,0.642,0.56,7,-15.123,1,0.0848,0.0541,0.752,0.131,0.499,130.003,audio_features,6J9FgTr3z44Bw6ABeVL415,spotify:track:6J9FgTr3z44Bw6ABeVL415,https://api.spotify.com/v1/tracks/6J9FgTr3z44Bw6ABeVL415,https://api.spotify.com/v1/audio-analysis/6J9FgTr3z44Bw6ABeVL415,222333,4
18065,0.623,0.7340000000000001,9,-5.948,1,0.107,0.0162,1.75e-06,0.145,0.37,107.853,audio_features,2meEiZKWkiN28gITzFwQo5,spotify:track:2meEiZKWkiN28gITzFwQo5,https://api.spotify.com/v1/tracks/2meEiZKWkiN28gITzFwQo5,https://api.spotify.com/v1/audio-analysis/2meEiZKWkiN28gITzFwQo5,244453,4
