,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
31428,0.723,0.635,7,-9.48,1,0.0654,0.0164,0.823,0.205,0.13,129.00799999999998,audio_features,16Sff1KTYV40cCxfHqdDt7,spotify:track:16Sff1KTYV40cCxfHqdDt7,https://api.spotify.com/v1/tracks/16Sff1KTYV40cCxfHqdDt7,https://api.spotify.com/v1/audio-analysis/16Sff1KTYV40cCxfHqdDt7,913052,4
26972,0.457,0.988,2,-7.898,1,0.046,0.0265,0.8809999999999999,0.0721,0.325,139.945,audio_features,6lzgXxusQjP5Vsl3D2FtGA,spotify:track:6lzgXxusQjP5Vsl3D2FtGA,https://api.spotify.com/v1/tracks/6lzgXxusQjP5Vsl3D2FtGA,https://api.spotify.com/v1/audio-analysis/6lzgXxusQjP5Vsl3D2FtGA,894386,4
31428,0.723,0.635,7,-9.48,1,0.0654,0.0164,0.823,0.205,0.13,129.00799999999998,audio_features,16Sff1KTYV40cCxfHqdDt7,spotify:track:16Sff1KTYV40cCxfHqdDt7,https://api.spotify.com/v1/tracks/16Sff1KTYV40cCxfHqdDt7,https://api.spotify.com/v1/audio-analysis/16Sff1KTYV40cCxfHqdDt7,913052,4
25682,0.528,0.464,8,-19.344,1,0.0413,0.225,0.8759999999999999,0.0769,0.0631,135.026,audio_features,2Mc6h0DzKYJ3Za0Pz1QiJC,spotify:track:2Mc6h0DzKYJ3Za0Pz1QiJC,https://api.spotify.com/v1/tracks/2Mc6h0DzKYJ3Za0Pz1QiJC,https://api.spotify.com/v1/audio-analysis/2Mc6h0DzKYJ3Za0Pz1QiJC,855502,4
25682,0.528,0.464,8,-19.344,1,0.0413,0.225,0.8759999999999999,0.0769,0.0631,135.026,audio_features,2Mc6h0DzKYJ3Za0Pz1QiJC,spotify:track:2Mc6h0DzKYJ3Za0Pz1QiJC,https://api.spotify.com/v1/tracks/2Mc6h0DzKYJ3Za0Pz1QiJC,https://api.spotify.com/v1/audio-analysis/2Mc6h0DzKYJ3Za0Pz1QiJC,855502,4
26972,0.457,0.988,2,-7.898,1,0.046,0.0265,0.8809999999999999,0.0721,0.325,139.945,audio_features,6lzgXxusQjP5Vsl3D2FtGA,spotify:track:6lzgXxusQjP5Vsl3D2FtGA,https://api.spotify.com/v1/tracks/6lzgXxusQjP5Vsl3D2FtGA,https://api.spotify.com/v1/audio-analysis/6lzgXxusQjP5Vsl3D2FtGA,894386,4
26972,0.457,0.988,2,-7.898,1,0.046,0.0265,0.8809999999999999,0.0721,0.325,139.945,audio_features,6lzgXxusQjP5Vsl3D2FtGA,spotify:track:6lzgXxusQjP5Vsl3D2FtGA,https://api.spotify.com/v1/tracks/6lzgXxusQjP5Vsl3D2FtGA,https://api.spotify.com/v1/audio-analysis/6lzgXxusQjP5Vsl3D2FtGA,894386,4
26972,0.457,0.988,2,-7.898,1,0.046,0.0265,0.8809999999999999,0.0721,0.325,139.945,audio_features,6lzgXxusQjP5Vsl3D2FtGA,spotify:track:6lzgXxusQjP5Vsl3D2FtGA,https://api.spotify.com/v1/tracks/6lzgXxusQjP5Vsl3D2FtGA,https://api.spotify.com/v1/audio-analysis/6lzgXxusQjP5Vsl3D2FtGA,894386,4
31428,0.723,0.635,7,-9.48,1,0.0654,0.0164,0.823,0.205,0.13,129.00799999999998,audio_features,16Sff1KTYV40cCxfHqdDt7,spotify:track:16Sff1KTYV40cCxfHqdDt7,https://api.spotify.com/v1/tracks/16Sff1KTYV40cCxfHqdDt7,https://api.spotify.com/v1/audio-analysis/16Sff1KTYV40cCxfHqdDt7,913052,4
31428,0.723,0.635,7,-9.48,1,0.0654,0.0164,0.823,0.205,0.13,129.00799999999998,audio_features,16Sff1KTYV40cCxfHqdDt7,spotify:track:16Sff1KTYV40cCxfHqdDt7,https://api.spotify.com/v1/tracks/16Sff1KTYV40cCxfHqdDt7,https://api.spotify.com/v1/audio-analysis/16Sff1KTYV40cCxfHqdDt7,913052,4
